WARN | Fri Jul 22 2022 17:38:08 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"JsonWebTokenError","message":"invalid token"}WARN | Fri Jul 22 2022 17:38:22 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"JsonWebTokenError","message":"invalid token"}WARN | Fri Jul 22 2022 17:38:58 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"JsonWebTokenError","message":"invalid token"} 
WARN | Fri Jul 22 2022 17:39:02 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"JsonWebTokenError","message":"invalid token"} 
WARN | Fri Jul 22 2022 17:39:04 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"JsonWebTokenError","message":"invalid token"} 
WARN | Fri Jul 22 2022 17:39:04 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"JsonWebTokenError","message":"invalid token"} 
WARN | Fri Jul 22 2022 17:39:05 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"JsonWebTokenError","message":"invalid token"} 
WARN | Fri Jul 22 2022 17:39:53 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"JsonWebTokenError","message":"invalid token"} 
WARN | Fri Jul 22 2022 17:40:41 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"JsonWebTokenError","message":"invalid token"} 
WARN | Fri Jul 22 2022 17:40:58 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"JsonWebTokenError","message":"invalid token"} 
WARN | Fri Jul 22 2022 17:41:56 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"TokenExpiredError","message":"jwt expired","expiredAt":"2022-07-22T15:41:56.000Z"} 
WARN | Fri Jul 22 2022 17:41:56 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"TokenExpiredError","message":"jwt expired","expiredAt":"2022-07-22T15:41:56.000Z"} 
WARN | Fri Jul 22 2022 17:41:56 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"TokenExpiredError","message":"jwt expired","expiredAt":"2022-07-22T15:41:56.000Z"} 
WARN | Fri Jul 22 2022 17:41:56 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"TokenExpiredError","message":"jwt expired","expiredAt":"2022-07-22T15:41:56.000Z"} 
WARN | Fri Jul 22 2022 17:41:57 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"TokenExpiredError","message":"jwt expired","expiredAt":"2022-07-22T15:41:56.000Z"} 
WARN | Fri Jul 22 2022 17:41:57 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"TokenExpiredError","message":"jwt expired","expiredAt":"2022-07-22T15:41:56.000Z"} 
WARN | Fri Jul 22 2022 17:41:57 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"TokenExpiredError","message":"jwt expired","expiredAt":"2022-07-22T15:41:56.000Z"} 
WARN | Fri Jul 22 2022 17:41:58 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"TokenExpiredError","message":"jwt expired","expiredAt":"2022-07-22T15:41:56.000Z"} 
WARN | Fri Jul 22 2022 17:41:58 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"TokenExpiredError","message":"jwt expired","expiredAt":"2022-07-22T15:41:56.000Z"} 
WARN | Fri Jul 22 2022 17:41:58 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"TokenExpiredError","message":"jwt expired","expiredAt":"2022-07-22T15:41:56.000Z"} 
WARN | Fri Jul 22 2022 17:41:59 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"TokenExpiredError","message":"jwt expired","expiredAt":"2022-07-22T15:41:56.000Z"} 
WARN | Fri Jul 22 2022 17:49:40 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"TokenExpiredError","message":"jwt expired","expiredAt":"2022-07-22T15:44:55.000Z"} 
ERROR | Fri Jul 22 2022 22:17:00 GMT+0200 (South Africa Standard Time) | jwt/generateAccessToken | {} 
ERROR | Fri Jul 22 2022 22:17:02 GMT+0200 (South Africa Standard Time) | jwt/generateAccessToken | {} 
WARN | Fri Jul 22 2022 22:20:55 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"TokenExpiredError","message":"jwt expired","expiredAt":"2022-07-22T20:20:53.000Z"} 
WARN | Fri Jul 22 2022 22:20:57 GMT+0200 (South Africa Standard Time) | jwt/verifyAccessToken | {"name":"TokenExpiredError","message":"jwt expired","expiredAt":"2022-07-22T20:20:53.000Z"} 
